Sample_unique_id,Treat,Plate,library,Cell,Dose,Time,Compound name,Catalog Number,Catalog Number.1,smiles
sample1_1,Compd0001,Plate1,1,293T,10uM,24h,Acteoside,Cpd0001,61276-17-3,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O
sample1_10,Compd0010,Plate1,1,293T,10uM,24h,Ginsenoside Re,Cpd0010,52286-59-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)OC6C(C(C(C(O6)CO)O)O)O)C)O)C7(C3C(C(CC7)O)(C)C)C)C)CO)O)O)O)O)O
sample1_100,Compd0100,Plate1,1,293T,10uM,24h,Crotonoside,Cpd0100,1818-71-9,C1=NC2=C(NC(=O)N=C2N1C3C(C(C(O3)CO)O)O)N
sample1_1000,Compd0272,Plate3,1,293T,10uM,24h,"Puerarin
6''-O-xyloside",Cpd0272,114240-18-5,C1C(C(C(C(O1)OCC2C(C(C(C(O2)C3=C(C=CC4=C3OC=C(C4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O
sample1_1001,Compd0273,Plate3,1,293T,10uM,24h,Puerarin,Cpd0273,3681-99-0,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O
sample1_1002,Compd0274,Plate3,1,293T,10uM,24h,Rhynchophyllin e,Cpd0274,76-66-4,CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C4=CC=CC=C4NC3=O
sample1_1003,Compd0275,Plate3,1,293T,10uM,24h,β   -Elemonic acid,Cpd0275,28282-25-9,CC(=CCCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(=O)C4(C)C)C)C)C)C(=O)O)C
sample1_1004,Compd0276,Plate3,1,293T,10uM,24h,Polygalasaponin V,Cpd0276,162857-65-0,CC1C(C(C(C(O1)OC2C(C(C(OC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4)C)(CCC7C6(CC(C(C7(C)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)CO)O)O)O)OC9C(C(CO9)(CO)O)O)OC1C(C(C(CO1)O)O)O
sample1_1005,Compd0277,Plate3,1,293T,10uM,24h,"Polygalasaponin
XXXI",Cpd0277,79103-90-5,CC1C(C(C(C(O1)OC(=O)C23CCC(CC2C4=CCC5C(C4(CC3)CO)(CCC6C5(CC(C(C6(C)C(=O)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)(C)C)OC8C(C(C(C(O8)C)OC9C(C(C(CO9)O)OC1C(C(C(CO1)O)O)O)O)OC1C(C(CO1)(CO)O)O)O)O)OC(=O)C=CC1=CC(=C(C(=C1)OC)OC)OC
sample1_1006,Compd0278,Plate3,1,293T,10uM,24h,Polygalasaponin F,Cpd0278,882664-74-6,CC1C(C(C(C(O1)OC2C(C(C(OC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4)C)(CCC7C6(CC(C(C7(C)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)CO)O)O)O)O)OC9C(C(C(CO9)O)O)O
